id,airline,flight,source,departure,stops,arrival,destination,class,duration,days_left,price
3284,Air_India,AI-672,Chennai,Afternoon,one,Night,Delhi,Business,5.5,38.0,45185
3285,Vistara,UK-707,Delhi,,one,Night,Mumbai,Business,6.0,27.0,70793
3286,Vistara,UK-876,Hyderabad,Night,one,Morning,Delhi,Economy,10.5,40.0,5656
3287,Air_India,AI-770,Kolkata,Night,one,Night,Bangalore,Business,23.58,9.0,60978
3288,Vistara,UK-860,Hyderabad,Early_Morning,one,Morning,Chennai,Business,27.08,27.0,64139
3289,Air_India,AI-809,Mumbai,,zero,Afternoon,Delhi,Economy,2.25,37.0,2464
3290,Indigo,0.00E+00,Delhi,Afternoon,one,Evening,Kolkata,Economy,,43.0,8885
3291,Indigo,0.00E+00,Delhi,Early_Morning,one,Afternoon,Kolkata,Economy,,40.0,2482
3292,SpiceJet,SG-3832,Kolkata,Morning,one,Afternoon,Hyderabad,Economy,3.67,38.0,5227
3293,Vistara,UK-910,Mumbai,Evening,one,Night,Chennai,Business,,31.0,57453
3294,Vistara,UK-930,Mumbai,Early_Morning,one,Evening,Bangalore,Economy,9.58,48.0,7135
3295,Vistara,UK-852,Bangalore,Morning,two_or_more,Evening,Kolkata,Economy,10.08,27.0,11372
3296,Indigo,0.00E+00,Delhi,Night,one,Morning,Mumbai,Economy,10.42,11.0,6932
3297,Vistara,UK-822,Chennai,Morning,one,Night,Delhi,Economy,10.92,21.0,4971
3298,Vistara,UK-833,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.33,44.0,4691
3299,SpiceJet,SG-6006,Chennai,Early_Morning,zero,Early_Morning,Mumbai,Economy,,18.0,3150
3300,Vistara,UK-738,Kolkata,Evening,one,Evening,Mumbai,Economy,22.92,27.0,6067
3301,AirAsia,I5-942,Mumbai,Afternoon,two_or_more,Late_Night,Kolkata,Economy,12.5,28.0,2836
3302,Vistara,UK-958,Mumbai,Afternoon,one,Evening,Kolkata,Economy,7.17,33.0,5949
3303,Vistara,UK-860,Hyderabad,,one,Evening,Mumbai,Business,9.67,39.0,45995
3304,Vistara,UK-988,Mumbai,Night,one,Night,Chennai,Business,23.33,46.0,69885
3305,Vistara,UK-836,Chennai,Morning,one,Evening,Hyderabad,Business,9.17,25.0,51457
3306,Vistara,UK-720,Kolkata,Early_Morning,one,Night,Mumbai,Economy,16.67,26.0,6067
3307,Vistara,UK-822,Chennai,Morning,one,Morning,Bangalore,Business,23.08,41.0,44144
3308,Air_India,AI-867,Mumbai,,one,Evening,Kolkata,Economy,21.67,9.0,11508
3309,,AI-610,Bangalore,Evening,one,Morning,Delhi,Business,15.08,24.0,42521
3310,Vistara,UK-897,Bangalore,Early_Morning,one,Morning,Mumbai,Economy,,26.0,4792
3311,Vistara,UK-910,Mumbai,Evening,one,Evening,Chennai,Business,22.75,9.0,57453
3312,Indigo,0.00E-02,Kolkata,Late_Night,zero,Early_Morning,Mumbai,Economy,2.92,,4499
3313,Vistara,UK-877,Mumbai,Morning,one,Night,Delhi,Business,12.08,12.0,41269
3314,Air_India,AI-806,Mumbai,Early_Morning,one,Evening,Hyderabad,Economy,11.33,,4593
3315,Indigo,0.00E+00,Kolkata,Early_Morning,zero,Morning,Bangalore,Economy,2.67,39.0,3862
3316,Vistara,UK-854,Bangalore,Evening,one,Late_Night,Delhi,Business,5.75,6.0,54841
3317,Vistara,UK-812,Bangalore,Morning,one,Night,Chennai,Business,10.5,29.0,60396
3318,GO_FIRST,G8-7541,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.08,38.0,7907
3319,Indigo,0.00E+00,Mumbai,Night,zero,Night,Kolkata,Economy,2.42,18.0,4499
3320,,UK-876,Hyderabad,,one,Evening,Bangalore,Economy,21.67,27.0,5441
3321,Air_India,AI-804,Bangalore,Early_Morning,one,Night,Kolkata,Business,16.17,42.0,60508
3322,SpiceJet,SG-612,Chennai,,zero,Night,Mumbai,Economy,2.0,31.0,3000
3323,Vistara,UK-706,Kolkata,,one,Evening,Mumbai,Business,7.42,5.0,80511
3324,Air_India,AI-542,Delhi,Morning,one,Morning,Mumbai,Economy,23.92,34.0,3831
3325,Indigo,0.00E+00,Mumbai,Evening,zero,Night,Kolkata,Economy,2.5,25.0,4499
3326,Vistara,UK-838,Chennai,Night,one,Morning,Hyderabad,Economy,12.58,25.0,4086
3327,Vistara,UK-897,Bangalore,Early_Morning,one,Morning,Mumbai,Economy,26.08,11.0,8224
3328,GO_FIRST,G8-391,Mumbai,Afternoon,one,Night,Hyderabad,Economy,8.33,24.0,3916
3329,Air_India,AI-840,Hyderabad,,one,Morning,Chennai,Economy,12.08,5.0,13168
3330,Indigo,0.00E+00,Bangalore,,one,Evening,Mumbai,Economy,8.42,5.0,7462
3331,,UK-870,Hyderabad,Night,one,Afternoon,Mumbai,Economy,17.42,7.0,10069
3332,Vistara,UK-838,Chennai,Night,one,Evening,Hyderabad,Economy,19.92,,4086
3333,Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42,6.0,10680
3334,Vistara,UK-874,Hyderabad,Morning,one,Evening,Chennai,Economy,11.42,,6287
3335,Vistara,UK-838,Chennai,Night,one,Morning,Mumbai,Business,14.5,21.0,56273
3336,Vistara,UK-774,Kolkata,Night,one,Night,Chennai,Economy,,44.0,7021
3337,Air_India,AI-808,Bangalore,Night,one,Morning,Mumbai,Business,13.17,19.0,54684
3338,Indigo,6.00E-246,Bangalore,Morning,one,Afternoon,Kolkata,Economy,5.83,36.0,4981
3339,SpiceJet,SG-209,Bangalore,Early_Morning,one,Evening,Delhi,Economy,12.83,26.0,5654
3340,,SG-8264,Kolkata,Night,one,Morning,Mumbai,Economy,11.67,27.0,5339
3341,Air_India,AI-573,Bangalore,Afternoon,one,Afternoon,Kolkata,Business,23.33,9.0,36763
3342,Vistara,UK-820,Bangalore,Evening,one,Evening,Hyderabad,Business,26.08,48.0,56588
3343,Air_India,AI-9518,Hyderabad,Night,one,Afternoon,Delhi,Economy,16.25,41.0,5708
3344,Vistara,UK-810,Bangalore,Early_Morning,one,Night,Kolkata,Business,15.75,41.0,60508
3345,Air_India,AI-672,Chennai,Afternoon,one,Morning,Bangalore,Business,20.25,,43729
3346,Indigo,0.00E+00,Hyderabad,,zero,Morning,Chennai,Economy,1.33,36.0,1788
3347,,AI-504,Delhi,Night,one,Evening,Kolkata,Business,20.33,17.0,57405
3348,Vistara,UK-852,Bangalore,Morning,one,Morning,Chennai,Economy,26.33,15.0,8766
3349,Vistara,UK-850,Bangalore,Evening,one,Morning,Chennai,Economy,12.92,40.0,4672
3350,Vistara,UK-988,Mumbai,,one,Evening,Chennai,Economy,19.42,6.0,11129
3351,AirAsia,I5-713,Delhi,Evening,two_or_more,Late_Night,Bangalore,Economy,8.75,22.0,3090
3352,Air_India,AI-507,Hyderabad,Morning,one,Evening,Mumbai,Business,,37.0,37622
3353,Vistara,UK-830,Hyderabad,Morning,one,Morning,Kolkata,Business,23.25,20.0,51819
3354,Air_India,AI-538,Chennai,Night,one,Evening,Mumbai,Economy,21.67,18.0,4357
3355,Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Economy,14.5,24.0,9264
3356,GO_FIRST,G8-302,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,7.17,23.0,4827
3357,Vistara,UK-945,Delhi,Morning,one,Night,Bangalore,Economy,,10.0,11205
3358,Vistara,UK-858,Bangalore,Early_Morning,one,Early_Morning,Hyderabad,Business,25.17,41.0,37985
3359,Vistara,UK-928,Mumbai,Early_Morning,,Morning,Delhi,Economy,2.08,28.0,2339
3360,Air_India,AI-768,Kolkata,Afternoon,one,Morning,Bangalore,Economy,17.42,47.0,6633
3361,GO_FIRST,G8-390,Mumbai,,one,Morning,Kolkata,Economy,5.83,23.0,5006
3362,Vistara,UK-874,Hyderabad,Morning,one,Night,Chennai,Business,14.58,29.0,41314
3363,Air_India,AI-442,Mumbai,Afternoon,one,Afternoon,Kolkata,Business,22.92,37.0,49725
3364,AirAsia,I5-749,Bangalore,,one,Early_Morning,Mumbai,Economy,8.17,1.0,11205
3365,Vistara,UK-810,Bangalore,Early_Morning,one,Afternoon,Hyderabad,Economy,5.58,9.0,12544
3366,Indigo,0.00E+00,Hyderabad,Evening,zero,Evening,Mumbai,Economy,1.5,29.0,3096
3367,GO_FIRST,G8-145,Delhi,,one,Morning,Bangalore,Economy,4.75,21.0,10672
3368,Air_India,AI-485,Delhi,Early_Morning,one,Morning,Kolkata,Economy,,8.0,18283
3369,Vistara,UK-890,Hyderabad,Evening,one,Morning,Kolkata,Business,15.92,33.0,51819
3370,Air_India,AI-765,Kolkata,Afternoon,one,Morning,Hyderabad,Economy,19.25,35.0,4174
3371,Air_India,AI-505,Bangalore,Morning,one,Night,Mumbai,Economy,11.17,14.0,9855
3372,Vistara,UK-818,Bangalore,Evening,one,Evening,Hyderabad,Business,24.25,40.0,56588
3373,Vistara,UK-890,Hyderabad,Evening,zero,Evening,Delhi,Economy,,45.0,2350
3374,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Kolkata,Business,11.25,17.0,51819
3375,Vistara,UK-706,Kolkata,Morning,one,Evening,Hyderabad,Business,9.67,29.0,52175
3376,Vistara,UK-963,Delhi,Morning,one,Night,Chennai,Economy,14.25,42.0,4979
3377,Air_India,AI-808,Bangalore,Night,one,Morning,Chennai,Business,11.92,33.0,60396
3378,GO_FIRST,G8-501,Hyderabad,Early_Morning,,Afternoon,Mumbai,Economy,5.75,35.0,5420
3379,Vistara,UK-874,Hyderabad,Morning,one,Morning,Kolkata,Business,25.17,16.0,48851
3380,Air_India,AI-424,Kolkata,Afternoon,one,Afternoon,Chennai,Business,23.17,,55983
3381,Vistara,UK-825,Mumbai,Morning,zero,Morning,Chennai,Business,2.08,8.0,23898
3382,Air_India,AI-573,Bangalore,Afternoon,one,Morning,Delhi,Economy,20.42,,5906
3383,Indigo,0.00E+00,Delhi,Morning,zero,Afternoon,Bangalore,Economy,2.92,38.0,4958
3384,,AI-424,Kolkata,Afternoon,one,Evening,Mumbai,Business,30.5,11.0,50271
3385,Vistara,UK-870,Hyderabad,Night,one,Morning,Kolkata,Economy,11.75,44.0,5960
3386,GO_FIRST,G8-302,Chennai,Early_Morning,one,Afternoon,Delhi,Economy,9.5,12.0,7352
3387,Vistara,UK-808,Bangalore,Early_Morning,one,Evening,Mumbai,Economy,9.67,29.0,6568
3388,GO_FIRST,G8-2506,Mumbai,Evening,one,Night,Delhi,Economy,5.5,49.0,4455
3389,Vistara,UK-975,Delhi,Early_Morning,,Morning,Chennai,Economy,6.08,15.0,5098
3390,,AI-678,Delhi,Morning,one,Night,Hyderabad,Economy,11.75,46.0,4209
3391,Vistara,UK-860,Hyderabad,,one,Evening,Mumbai,Economy,12.25,19.0,5060
3392,Vistara,UK-817,Delhi,Evening,zero,Evening,Bangalore,Business,2.75,4.0,40296
3393,Vistara,UK-851,Mumbai,Early_Morning,one,Afternoon,Delhi,Business,5.67,6.0,53152
3394,GO_FIRST,G8-323,Delhi,Evening,one,Early_Morning,Chennai,Economy,13.42,48.0,4896
3395,Vistara,UK-930,Mumbai,,one,Evening,Hyderabad,Economy,9.5,5.0,10058
3396,Air_India,AI-763,Kolkata,Early_Morning,one,Night,Chennai,Economy,16.58,30.0,5915
3397,SpiceJet,SG-8103,Delhi,Evening,,Night,Chennai,Economy,2.83,47.0,2637
3398,AirAsia,I5-339,Bangalore,Night,one,Morning,Delhi,Economy,10.75,22.0,4112
3399,Indigo,0.00E+00,Mumbai,Evening,,Night,Bangalore,Economy,5.67,,4056
3400,Vistara,UK-705,Delhi,Early_Morning,,Night,Mumbai,Economy,12.83,26.0,7575
3401,Vistara,UK-940,Mumbai,Evening,,Morning,Kolkata,Business,12.83,4.0,82205
3402,Vistara,UK-707,Delhi,Evening,one,Night,Mumbai,Business,6.0,43.0,60713
3403,Vistara,UK-738,Kolkata,,one,Morning,Bangalore,Business,17.08,20.0,60978
3404,Indigo,0.00E+00,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17,10.0,5955
3405,Air_India,AI-424,Kolkata,,one,Morning,Mumbai,Business,20.67,41.0,50271
3406,AirAsia,I5-1529,Delhi,Morning,two_or_more,Evening,Kolkata,Economy,,45.0,4031
3407,Vistara,UK-772,Kolkata,Morning,one,Early_Morning,Hyderabad,Business,21.42,16.0,49207
3408,Vistara,UK-720,Kolkata,Early_Morning,one,Evening,Mumbai,Business,11.92,5.0,74687
3409,Vistara,UK-737,Delhi,Afternoon,zero,Evening,Kolkata,Economy,,,4000
3410,AirAsia,I5-741,Bangalore,Morning,one,Night,Kolkata,Economy,,43.0,3393
3411,Vistara,UK-776,Kolkata,Evening,one,Morning,Delhi,Economy,14.5,,16149
3412,Indigo,0.00E+00,Kolkata,Morning,one,Night,Bangalore,Economy,12.0,22.0,6489
3413,Vistara,UK-772,Kolkata,Morning,zero,Afternoon,Mumbai,Economy,2.58,31.0,4762
3414,Vistara,UK-834,Chennai,Evening,one,Morning,Bangalore,Economy,15.5,31.0,6161
3415,Air_India,AI-9501,Bangalore,Early_Morning,two_or_more,Early_Morning,Chennai,Economy,24.08,3.0,11890
3416,Indigo,0.00E+00,Chennai,Morning,one,Evening,Mumbai,Economy,7.33,47.0,1830
3417,Vistara,UK-859,Delhi,,one,Morning,Mumbai,Economy,23.58,10.0,9945
3418,Air_India,AI-635,Mumbai,Early_Morning,one,Evening,Kolkata,Business,12.08,37.0,49725
3419,,AI-526,Kolkata,Evening,one,Afternoon,Bangalore,Business,19.33,15.0,31902
3420,,SG-4010,Chennai,Morning,one,Morning,Kolkata,Economy,,,4547
3421,Vistara,UK-877,Mumbai,Morning,one,Afternoon,Delhi,Business,4.92,,51719
3422,Vistara,UK-867,Bangalore,Afternoon,two_or_more,Evening,Hyderabad,Economy,31.17,,9198
3423,Vistara,UK-876,Hyderabad,Night,one,Evening,Delhi,Economy,22.17,,6292
3424,,AI-770,Kolkata,Night,zero,Night,Delhi,Business,2.5,,28510
3425,Vistara,UK-825,Mumbai,Morning,one,Night,Delhi,Economy,10.42,49.0,4752
3426,Indigo,6.00E-236,Mumbai,Evening,zero,Evening,Bangalore,Economy,1.75,43.0,2124
3427,GO_FIRST,G8-391,Mumbai,Afternoon,one,Night,Kolkata,Economy,8.25,1.0,11377
3428,AirAsia,I5-747,Delhi,Evening,one,Morning,Kolkata,Economy,14.0,,3175
3429,Air_India,AI-774,Mumbai,Night,zero,Night,Kolkata,Business,,49.0,31436
3430,,UK-815,Delhi,Morning,one,Night,Mumbai,Business,,8.0,53164
3431,Vistara,UK-836,Chennai,Morning,one,Night,Kolkata,Business,12.0,14.0,55377
3432,Vistara,UK-720,Kolkata,,two_or_more,Night,Bangalore,Economy,15.5,31.0,8111
3433,SpiceJet,SG-8130,Kolkata,Early_Morning,one,Night,Mumbai,Economy,16.0,44.0,7404
3434,,G8-391,Mumbai,Afternoon,one,Night,Kolkata,Economy,8.25,37.0,5817
3435,Indigo,0.00E+00,Mumbai,Evening,one,Night,Bangalore,Economy,6.5,28.0,4056
3436,Air_India,AI-402,Kolkata,Morning,one,Morning,Hyderabad,Economy,,48.0,5145
3437,Air_India,AI-402,Kolkata,Morning,one,Night,Mumbai,Business,10.83,,50271
3438,Air_India,AI-806,Mumbai,Early_Morning,one,Afternoon,Kolkata,Business,6.5,30.0,49725
3439,,0.00E+00,Mumbai,Afternoon,zero,Afternoon,Delhi,Economy,2.17,,2738
3440,Indigo,0.00E+00,Bangalore,Early_Morning,one,Afternoon,Mumbai,Economy,6.25,28.0,4349
3441,Air_India,AI-501,Bangalore,Afternoon,one,Evening,Hyderabad,Business,6.0,4.0,56476
3442,Indigo,0.00E+00,Delhi,Afternoon,one,Night,Chennai,Economy,9.17,31.0,4729
3443,,6.00E-139,Kolkata,Early_Morning,one,Afternoon,Delhi,Economy,8.5,9.0,7466
3444,SpiceJet,SG-387,Kolkata,,zero,Night,Chennai,Economy,2.25,42.0,3453
3445,Air_India,AI-673,Mumbai,Early_Morning,one,Afternoon,Delhi,Economy,6.75,26.0,5915
3446,Air_India,AI-867,Mumbai,Night,one,Afternoon,Kolkata,Business,17.0,38.0,49725
3447,Air_India,AI-423,Delhi,,one,Night,Hyderabad,Business,16.42,13.0,47408
3448,Air_India,AI-660,Mumbai,Evening,one,Evening,Bangalore,Business,22.25,44.0,54608
3449,Vistara,UK-708,Kolkata,Night,one,Morning,Hyderabad,Business,13.25,23.0,62255
3450,Vistara,UK-828,Chennai,Early_Morning,one,Afternoon,Delhi,Business,5.67,17.0,57920
3451,Vistara,UK-850,Bangalore,Evening,one,Morning,Delhi,Business,12.17,45.0,42521
3452,GO_FIRST,G8-338,Delhi,Morning,one,Evening,Kolkata,Economy,7.0,26.0,6395
3453,Vistara,UK-945,Delhi,Morning,one,Night,Chennai,Business,11.42,15.0,52392
3454,Vistara,UK-970,Mumbai,Morning,one,Night,Kolkata,Business,14.0,31.0,64285
3455,Air_India,AI-651,Mumbai,,one,Night,Delhi,Economy,11.0,,12098
3456,Vistara,UK-898,Hyderabad,Early_Morning,one,Night,Delhi,Economy,13.92,17.0,5823
3457,Vistara,UK-873,Mumbai,Early_Morning,one,Morning,Bangalore,Economy,26.5,31.0,4658
3458,Vistara,UK-854,Bangalore,Evening,one,Morning,Kolkata,Economy,15.25,10.0,13303
3459,Air_India,AI-9881,Hyderabad,Afternoon,one,Evening,Bangalore,Economy,4.67,24.0,5500
3460,GO_FIRST,G8-116,Bangalore,Early_Morning,one,Night,Mumbai,Economy,15.92,22.0,6389
3461,Vistara,UK-846,Bangalore,Morning,one,Evening,Kolkata,Business,8.42,48.0,51817
3462,Vistara,UK-838,Chennai,Night,one,Afternoon,Mumbai,Economy,15.5,3.0,11783
3463,Vistara,UK-816,Bangalore,Morning,one,Evening,Hyderabad,Business,8.42,24.0,56588
3464,Air_India,AI-806,Mumbai,Early_Morning,one,Night,Bangalore,Economy,12.08,49.0,6502
3465,,UK-866,Bangalore,Night,one,Evening,Kolkata,Business,22.25,21.0,51817
3466,Indigo,6.00E-219,Mumbai,Afternoon,,Evening,Bangalore,Economy,1.75,2.0,10668
3467,Vistara,UK-940,Mumbai,Evening,one,Evening,Kolkata,Economy,23.83,10.0,9879
3468,Air_India,AI-748,Bangalore,Late_Night,one,Evening,Chennai,Economy,17.0,22.0,7325
3469,Vistara,UK-832,Chennai,Early_Morning,one,Night,Bangalore,Economy,15.75,3.0,19848
3470,Air_India,AI-669,Mumbai,,one,Afternoon,Bangalore,Business,26.33,22.0,39547
3471,,UK-808,Bangalore,Early_Morning,one,Night,Hyderabad,Economy,14.92,27.0,6133
3472,Air_India,AI-671,Mumbai,Morning,one,Morning,Kolkata,Business,24.58,38.0,43165
3473,Vistara,UK-875,Mumbai,Evening,one,Afternoon,Delhi,Business,20.33,13.0,41269
3474,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Bangalore,Business,,49.0,56702
3475,Air_India,AI-525,Hyderabad,Early_Morning,one,Afternoon,Delhi,Business,6.92,21.0,47586
3476,Vistara,UK-878,Hyderabad,Afternoon,one,Morning,Chennai,Business,19.92,9.0,41314
3477,,UK-834,Chennai,Evening,one,Morning,Bangalore,Business,18.67,17.0,60260
3478,Vistara,UK-880,Hyderabad,Afternoon,,Night,Mumbai,Business,8.58,38.0,66155
3479,GO_FIRST,G8-704,Kolkata,,one,Night,Mumbai,Economy,6.5,8.0,7958
3480,Vistara,UK-820,Bangalore,Evening,zero,Night,Delhi,Business,2.67,37.0,32923
3481,Vistara,UK-814,Bangalore,,one,Evening,Kolkata,Business,20.92,36.0,60508
3482,Vistara,UK-988,Mumbai,Night,one,Morning,Bangalore,Business,13.92,5.0,84820
3483,Indigo,0.00E+00,Mumbai,Morning,one,Evening,Delhi,Economy,7.83,40.0,2339
3484,Air_India,AI-698,Hyderabad,Night,one,Evening,Delhi,Economy,20.0,23.0,5437
3485,Vistara,UK-860,Hyderabad,Early_Morning,one,Evening,Mumbai,Business,12.25,39.0,53835
3486,Air_India,AI-619,Mumbai,Night,one,Afternoon,Bangalore,Economy,18.08,,8148
3487,Vistara,UK-832,Chennai,,one,Night,Bangalore,Business,16.42,36.0,60260
3488,GO_FIRST,G8-118,Bangalore,,one,Afternoon,Mumbai,Economy,14.92,28.0,5177
3489,Air_India,AI-840,Hyderabad,Night,,Morning,Bangalore,Economy,12.08,41.0,5894
3490,,AI-805,Delhi,Evening,one,Night,Hyderabad,Economy,25.58,11.0,9840
3491,Vistara,UK-832,Chennai,Early_Morning,one,Night,Mumbai,Business,15.08,24.0,69713
3492,Vistara,UK-822,Chennai,Morning,one,Night,Delhi,Economy,13.25,3.0,14283
3493,Air_India,AI-867,Mumbai,Night,one,Morning,Chennai,Business,11.42,19.0,49613
3494,Vistara,UK-876,Hyderabad,Night,one,Morning,Kolkata,Business,12.08,31.0,48851
3495,,UK-776,Kolkata,Evening,one,Afternoon,Hyderabad,Business,18.67,,49207
3496,Vistara,UK-970,Mumbai,Morning,one,Night,Bangalore,Economy,13.92,10.0,11307
3497,AirAsia,I5-1531,Chennai,Night,one,Morning,Hyderabad,Economy,10.75,22.0,1550
3498,Vistara,UK-836,Chennai,,one,Night,Bangalore,Business,11.92,38.0,60260
3499,GO_FIRST,G8-213,Delhi,Morning,,Evening,Mumbai,Economy,5.67,24.0,5954
3500,Vistara,UK-859,Delhi,Morning,one,Evening,Bangalore,Economy,9.08,40.0,3357
3501,Vistara,UK-824,Chennai,Night,one,Afternoon,Delhi,Business,18.0,14.0,45600
3502,Vistara,UK-858,Bangalore,Early_Morning,one,Morning,Chennai,Business,5.17,,44280
3503,Vistara,UK-653,Mumbai,Early_Morning,one,Evening,Kolkata,Economy,,18.0,12420
3504,Air_India,AI-635,Mumbai,Early_Morning,one,Late_Night,Bangalore,Economy,17.08,7.0,9201
3505,Vistara,UK-830,Hyderabad,Morning,one,Night,Mumbai,Business,12.5,12.0,45995
3506,Vistara,UK-865,Mumbai,Evening,one,Morning,Hyderabad,Economy,13.92,42.0,3334
3507,Vistara,UK-772,Kolkata,,one,Late_Night,Delhi,Economy,14.5,39.0,6461
3508,GO_FIRST,G8-7560,Kolkata,Afternoon,zero,Evening,Bangalore,Economy,2.67,,4145
3509,Vistara,UK-836,Chennai,Morning,one,Night,Bangalore,Business,9.67,23.0,60260
3510,SpiceJet,SG-3283,Hyderabad,Evening,one,Evening,Kolkata,Economy,24.25,46.0,8757
3511,,UK-834,Chennai,Evening,one,Evening,Hyderabad,Economy,23.58,46.0,3810
3512,Indigo,0.00E+00,Delhi,Night,one,Early_Morning,Chennai,Economy,,39.0,3389
3513,SpiceJet,SG-520,Chennai,Afternoon,one,Afternoon,Mumbai,Economy,23.58,14.0,10502
3514,Vistara,UK-950,Mumbai,Night,one,Evening,Kolkata,Business,20.17,42.0,62045
3515,AirAsia,I5-830,Kolkata,Night,one,Morning,Bangalore,Economy,,45.0,3862
3516,,AI-808,Bangalore,Night,one,Evening,Kolkata,Business,22.17,10.0,60508
3517,Vistara,UK-866,Bangalore,,one,Evening,Kolkata,Economy,19.17,7.0,12410
3518,,AI-541,Hyderabad,Evening,,Night,Mumbai,Business,5.92,21.0,45883
3519,Indigo,0.00E+00,Hyderabad,Afternoon,one,Evening,Chennai,Economy,4.33,,4453
3520,Air_India,AI-402,Kolkata,Morning,one,Night,Hyderabad,Economy,13.17,33.0,5145
3521,Air_India,AI-441,Delhi,Evening,one,Night,Mumbai,Business,3.75,19.0,22152
3522,Vistara,UK-943,Delhi,,one,Evening,Bangalore,Business,,16.0,57017
3523,Vistara,UK-953,Delhi,Night,one,Evening,Kolkata,Business,23.25,40.0,53209
3524,Vistara,UK-880,Hyderabad,Afternoon,zero,Afternoon,Delhi,Economy,2.25,37.0,3085
3525,Vistara,UK-812,Bangalore,Morning,one,Evening,Kolkata,Economy,8.33,25.0,8427
3526,Vistara,UK-876,Hyderabad,Night,one,Morning,Delhi,Economy,11.0,8.0,10123
3527,,UK-708,Kolkata,Night,one,Morning,Mumbai,Economy,13.33,33.0,6711
3528,Air_India,AI-636,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.5,8.0,5955
3529,Air_India,AI-806,Mumbai,,one,Morning,Bangalore,Economy,24.92,15.0,10400
3530,Vistara,UK-818,Bangalore,Evening,one,Morning,Hyderabad,Economy,14.0,37.0,6133
3531,AirAsia,I5-2991,Kolkata,Night,zero,Late_Night,Bangalore,Economy,2.75,29.0,3862
3532,Vistara,UK-866,Bangalore,Night,one,Early_Morning,Hyderabad,Economy,10.17,5.0,7813
3533,Vistara,UK-854,Bangalore,Evening,one,Evening,Kolkata,Economy,,23.0,7683
3534,,0.00E+00,Hyderabad,Morning,one,Night,Delhi,Economy,8.83,39.0,2276
3535,Air_India,AI-9501,Bangalore,Early_Morning,one,Night,Delhi,Economy,15.0,18.0,6640
3536,Air_India,AI-570,Mumbai,Early_Morning,one,Morning,Kolkata,Business,5.5,24.0,43165
3537,Vistara,UK-866,Bangalore,Night,one,Evening,Chennai,Business,22.25,35.0,44280
3538,,UK-826,Chennai,,one,Morning,Bangalore,Economy,22.25,5.0,9105
3539,Vistara,UK-812,Bangalore,Morning,one,Night,Mumbai,Business,11.5,14.0,69244
3540,Vistara,UK-814,Bangalore,Night,one,Evening,Chennai,Economy,19.17,14.0,13882
3541,Vistara,UK-776,Kolkata,Evening,,Morning,Chennai,Business,18.25,24.0,55502
3542,,AI-636,Delhi,Afternoon,one,Morning,Chennai,Economy,20.42,25.0,3988
3543,Indigo,6.00E-102,Hyderabad,Evening,one,Night,Kolkata,Economy,5.67,48.0,2057
3544,Indigo,0.00E+00,Hyderabad,Early_Morning,one,Afternoon,Mumbai,Economy,8.75,28.0,4089
3545,GO_FIRST,G8-520,Mumbai,Night,zero,Night,Kolkata,Economy,2.83,48.0,4499
3546,,AI-505,Bangalore,Morning,zero,Afternoon,Delhi,Business,2.58,,32923
3547,AirAsia,I5-588,Kolkata,Afternoon,zero,Evening,Bangalore,Economy,2.75,37.0,3862
3548,Vistara,UK-708,Kolkata,Night,one,Evening,Mumbai,Economy,22.75,49.0,6711
3549,Vistara,UK-860,Hyderabad,Early_Morning,one,Night,Mumbai,Economy,17.0,20.0,4961
3550,Air_India,AI-539,Chennai,Evening,one,Afternoon,Kolkata,Business,19.5,17.0,55377
3551,,AI-501,Bangalore,Afternoon,one,Night,Hyderabad,Business,10.25,49.0,56476
3552,Air_India,AI-505,Bangalore,Morning,one,Evening,Chennai,Business,8.58,42.0,60396
3553,Vistara,UK-824,Chennai,Night,one,Morning,Delhi,Business,11.58,15.0,45600
3554,Vistara,UK-832,Chennai,Early_Morning,one,Evening,Mumbai,Economy,10.75,34.0,4637
3555,Air_India,AI-672,Chennai,Afternoon,zero,Evening,Mumbai,Business,2.17,24.0,23424
3556,,UK-824,Chennai,Night,one,Afternoon,Bangalore,Economy,19.5,20.0,9587
3557,Air_India,AI-560,Delhi,Morning,one,Early_Morning,Chennai,Economy,23.83,11.0,9840
3558,Air_India,AI-808,Bangalore,Night,one,Evening,Mumbai,Business,23.0,12.0,54684
3559,GO_FIRST,G8-113,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.58,,5954
3560,Air_India,AI-402,Kolkata,Morning,one,Night,Mumbai,Economy,11.75,29.0,5523
3561,Indigo,0.00E+00,Delhi,Morning,one,Evening,Hyderabad,Economy,7.0,30.0,3457
3562,Air_India,AI-687,Mumbai,Afternoon,one,Morning,Kolkata,Economy,16.08,5.0,13674
3563,,UK-706,Kolkata,Morning,one,Night,Chennai,Economy,12.5,32.0,5910
3564,Air_India,AI-681,Mumbai,Evening,one,Evening,Bangalore,Economy,24.75,12.0,7728
